,percent_of_occurrences
/shuttle/countdown/,11.496998652456204
/shuttle/missions/sts-71/images/images.html,6.584588999142473
/shuttle/missions/sts-71/mission-sts-71.html,6.321205439176773
/,5.047164032831067
/ksc.html,4.25701335293397
/shuttle/countdown/liftoff.html,3.9752541957613623
/shuttle/missions/missions.html,3.8772510106578464
/htbin/cdt_main.pl,1.9110621095185594
/shuttle/missions/sts-71/movies/movies.html,1.8743109151047408
/history/apollo/apollo.html,1.8436849197598921
/history/apollo/apollo-13/apollo-13.html,1.512924170035526
/history/history.html,1.512924170035526
/shuttle/countdown/countdown.html,1.470047776552738
/shuttle/technology/sts-newsref/stsref-toc.html,1.372044591449222
/shuttle/resources/orbiters/atlantis.html,1.3597941933112825
/htbin/cdt_clock.pl,1.065784638000735
/software/winvn/winvn.html,0.9677814528972193
/shuttle/countdown/lps/fr.html,0.8575278696557639
/shuttle/missions/sts-67/mission-sts-67.html,0.784025480828127
/history/apollo/apollo-13/apollo-13-info.html,0.7288986892073993
/history/apollo/apollo-11/apollo-11.html,0.7227734901384295
/facilities/lc39a.html,0.6921474947935807
/shuttle/missions/sts-70/mission-sts-70.html,0.6553963003797623
/shuttle/countdown/tour.html,0.6431459022418229
/history/apollo/apollo-13/,0.5573931152762465
/history/apollo/apollo-13/images/,0.5328923190003675
/shuttle/missions/sts-71/news/,0.5145167217934583
/shuttle/missions/sts-63/mission-sts-63.html,0.5022663236555188
